Inspektions-ID,Videoname,Videozeitpunkt (h:min:sec),Meter ab Rohrbeginn,Schadenskürzel,Schadensbeschreibung,Rohrmaterial,Rohrprofil,Inspekteur-Name,Rohrhöhe (mm),Rohrbreite (mm),Kamera-Schwenkneigung (Grad),Kamera-Drehneigung (Grad),Videopfad,Videohash,Kmd-Pfad
2885,F4132C33930503.MPG,00:01:52,2.33,BABBA,,Stahlbeton,Kreisprofil,Dorr/Seidl,500,500,-66.0,311.0,"\\192.168.200.8\Datengrab\Dorr\08-19-04-20\Fa. Karwendel-Werke GmbH\Buchloe, Karwendelstr. 6-16 vom 09.05.2016-30.11.2019\Sichtversion 001\bin\F4132C33930503.MPG",1890786780,"\\192.168.200.8\Datengrab\Dorr\08-19-04-20\Fa. Karwendel-Werke GmbH\Buchloe, Karwendelstr. 6-16 vom 09.05.2016-30.11.2019\Sichtversion 001\bin\MESSDAT\G_Karwen\del\F4132C33930503.kmd"
130384,F416Q33076060A.MPG,00:10:36,28.6,BABBA,,Steinzeug,Kreisprofil,Dorr/Espig,250,250,,,\\192.168.200.8\Datengrab\Dorr\Daten ab 10-2ß15\TV-Untersuchung\Stadt Filderstadt\Filderstadt vom 28.09.-27.10.2015\Sichtversion 001\F416Q33076060A.MPG,1621503010,\\192.168.200.8\Datengrab\Dorr\Daten ab 10-2ß15\TV-Untersuchung\Stadt Filderstadt\Filderstadt vom 28.09.-27.10.2015\Sichtversion 001\MESSDAT\Filderst\adt\F416Q33076060A.kmd
26658,20R6630I.MPG,00:27:36,25.15,BABBA,,Beton,Kreisprofil,Dorr/BeGü,250,250,,,\\192.168.200.8\Datengrab\Dorr\11-17-12-18\AV Starnberger See\Starnberg RW-Kanal\Starnberg RW-Kanal vom 09.11.2016.-14.12.2017\Sichtversion 001\20R6630I.MPG,442786824,\\192.168.200.8\Datengrab\Dorr\11-17-12-18\AV Starnberger See\Starnberg RW-Kanal\Starnberg RW-Kanal vom 09.11.2016.-14.12.2017\Sichtversion 001\MESSDAT\Starnber\gRWneu\20R6630I.kmd
83667,20R7210G.MPG,00:39:19,37.88,BABBA,,Beton,Kreisprofil,Dorr/BeGü,200,200,,,\\192.168.200.8\Datengrab\Dorr\3-17-11-17\AV Starnberger See\Starnberg RW-Kanal vom 07.11.2016-20.07.2017\Starnberg RW-Kanal vom 07.11.2016-20.07.2017\Daten Gesamt\Sichtversion 001\20R7210G.MPG,2610569318,\\192.168.200.8\Datengrab\Dorr\3-17-11-17\AV Starnberger See\Starnberg RW-Kanal vom 07.11.2016-20.07.2017\Starnberg RW-Kanal vom 07.11.2016-20.07.2017\Daten Gesamt\Sichtversion 001\MESSDAT\Starnber\gRW2016\20R7210G.kmd
34841,F4P2O_40790501.MPG,00:07:35,32.16,BABBA,,Stahlbeton,Kreisprofil,Dorr/Seidl,800,800,29.0,87.0,"\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Fa. Liebherr Biberach\Biberach, Memminger Strasse 120 vom 16.07.-26.10.2018\Sichtversion 001\F4P2O_40790501.MPG",1168011932,"\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Fa. Liebherr Biberach\Biberach, Memminger Strasse 120 vom 16.07.-26.10.2018\Sichtversion 001\MESSDAT\Liebherr\_Bibera\F4P2O_40790501.kmd"
131654,T1 21.04G26112015.MPG,00:07:34,37.06,BABBA,,Stahlbeton,Kreisprofil,Dorr/BeGü,900,900,,,\\192.168.200.8\Datengrab\Dorr\Daten ab 10-2ß15\TV-Untersuchung\Stadt Ravensburg\RV-Bavendorf vom 23.11.-08.12.2015\Sichtversion 001\T1 21.04G26112015.MPG,1175326621,\\192.168.200.8\Datengrab\Dorr\Daten ab 10-2ß15\TV-Untersuchung\Stadt Ravensburg\RV-Bavendorf vom 23.11.-08.12.2015\Sichtversion 001\MESSDAT\RV-Baven\dorf\T1 21.04G26112015.kmd
132161,F4YWU_30560308.MPG,00:08:53,1.89,BABBA,,Stahlbeton,Kreisprofil,Dorr/Stegnitz,400,400,,,\\192.168.200.8\Datengrab\Dorr\Daten ab 10-2ß15\TV-Untersuchung\Stadt Vöhringen\Sichtversion 001\F4YWU_30560308.MPG,2757949794,\\192.168.200.8\Datengrab\Dorr\Daten ab 10-2ß15\TV-Untersuchung\Stadt Vöhringen\Sichtversion 001\MESSDAT\Vöhringe\n2015\F4YWU_30560308.kmd
92039,Neu2016_RW20-0013I.MPG,00:46:57,59.06,BABBA,,Beton,Kreisprofil,Dorr/BeGü,300,300,,,\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2016\TV-Untersuchung\AV Starnberger See\Starnberg RW-Kanal vom 09.11.-20.12.2016\Daten vom 09.11.-25.11.2016\Sichtversion 001\Neu2016_RW20-0013I.MPG,3022448677,\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2016\TV-Untersuchung\AV Starnberger See\Starnberg RW-Kanal vom 09.11.-20.12.2016\Daten vom 09.11.-25.11.2016\Sichtversion 001\MESSDAT\Starnber\gRW2016\Neu2016_RW20-0013I.kmd
64275,F4LHU_43990302.MPG,00:07:22,19.32,BABBA,,Beton,Kreisprofil,Dorr/BeGü,300,300,,,"\\192.168.200.8\Datengrab\Dorr\12-18-08-19\Gemeinde Seefeld\Seefeld, diverse Strassen vom 31.05.-05.06.2019\Sichtversion 001\F4LHU_43990302.MPG",844338506,"\\192.168.200.8\Datengrab\Dorr\12-18-08-19\Gemeinde Seefeld\Seefeld, diverse Strassen vom 31.05.-05.06.2019\Sichtversion 001\MESSDAT\Seefeld_\2019\F4LHU_43990302.kmd"
78770,F4XF3_41280602.MPG,00:08:24,28.8,BABBA,,Mauerwerk,,Dorr/Spaiu,1750,950,,,"\\192.168.200.8\Datengrab\Dorr\12-18-08-19\Stadtentwässerung Augsburg\Augsburg, Begehung MW3 vom 22.08.-14.12.2018\Sichtversion 001\F4XF3_41280602.MPG",2120655894,"\\192.168.200.8\Datengrab\Dorr\12-18-08-19\Stadtentwässerung Augsburg\Augsburg, Begehung MW3 vom 22.08.-14.12.2018\Sichtversion 001\MESSDAT\Augsburg\2018\F4XF3_41280602.kmd"
