Inspektions-ID;Videoname;Videozeitpunkt (h:min:sec);Meter ab Rohrbeginn;Schadenskürzel;Schadensbeschreibung;Rohrmaterial;Rohrprofil;Inspekteur-Name;Rohrhöhe (mm);Rohrbreite (mm);Kamera-Schwenkneigung (Grad);Kamera-Drehneigung (Grad);Videopfad;Videohash;Kmd-Pfad
78677;F4WFA_42110601.MPG;00:24:17;67.3;BBFC;;Beton;;Dorr/Espig;1750;1300;;;\\192.168.200.8\Datengrab\Dorr\12-18-08-19\Stadtentwässerung Augsburg\Augsburg, Begehung MW3 vom 22.08.-14.12.2018\Sichtversion 001\F4WFA_42110601.MPG;984986819;\\192.168.200.8\Datengrab\Dorr\12-18-08-19\Stadtentwässerung Augsburg\Augsburg, Begehung MW3 vom 22.08.-14.12.2018\Sichtversion 001\MESSDAT\Augsburg\2018\F4WFA_42110601.kmd
82726;60R2190I.mpg;00:13:48;33.79;BBFC;;Beton;Kreisprofil;G. Rottmair;250;250;;;\\192.168.200.8\Datengrab\Dorr\3-17-11-17\AV Starnberger See\Bernried vom 19.12.2016-02.06.2017\Bernried RW-Kanal vom 19.12.2016-03.05.2017\Sichtversion 001\60R2190I.mpg;3909528350;
15236;F4ST6_4335080C.MPG;00:04:44;15.18;BBFC;;Steinzeug;Kreisprofil;Dorr/Alker;250;250;;;\\192.168.200.8\Datengrab\Dorr\08-19-04-20\KKU EÜV 2018\Kempten, EÜV 2018 vom 11.03.-02.05.2019\Sichtversion DVD 001\F4ST6_4335080C.MPG;2889037844;\\192.168.200.8\Datengrab\Dorr\08-19-04-20\KKU EÜV 2018\Kempten, EÜV 2018 vom 11.03.-02.05.2019\Sichtversion DVD 001\MESSDAT\KKUEÜV20\18\F4ST6_4335080C.kmd
132501;_1233D__.mpg;00:02:23;3.66;BBCA;;Beton;;Michael Gurschler;600;600;;;\\192.168.200.8\Datengrab\Dorr\Daten ab 10-2ß15\TV-Untersuchung\Stadt Wangen\Wangen vom 07.09.-06.10.2015\Daten TV II\Sichtung\Projects\Stadt Wangen Innenstadt\Video\_1233D__.mpg;1262184407;
97161;F4VG4_33030301.MPG;00:03:05;18.18;BBCA;;Beton;Kreisprofil;Dorr/BeGü;600;600;;;\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2016\TV-Untersuchung\Pansuevia GmbH & Co. KG\A8 Alt vom 13.04.-03.06.2016\Sichtversion 001\F4VG4_33030301.MPG;2308488981;\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2016\TV-Untersuchung\Pansuevia GmbH & Co. KG\A8 Alt vom 13.04.-03.06.2016\Sichtversion 001\MESSDAT\Pansuevi\a_RW\F4VG4_33030301.kmd
93337;_OSRK80D08362828__.mpg;00:07:40;23.19;BBCA;;Glasfaserverstärkter Kunststoff;Kreisprofil;Michael Gurschler;300;300;;;\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2016\TV-Untersuchung\Fa. Geiger Kanaltechnik GmbH & Co. KG\Osterzell, Sanierungsabnahme vom 21.11.-22.11.2016\Sichtversion 001\_OSRK80D08362828__.mpg;42245736;
35090;F4OIW_40630802.MPG;00:02:22;6.29;BBCA;;Stahl;Kreisprofil;Dorr/Alker;300;300;;;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Fa. Lässer GmbH\Betzigau, OA 23 Südumfahrung vom 03.07.-04.07.2018\Sichtversion DVD 001\F4OIW_40630802.MPG;3404753238;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Fa. Lässer GmbH\Betzigau, OA 23 Südumfahrung vom 03.07.-04.07.2018\Sichtversion DVD 001\MESSDAT\Lässer_B\etzigau\F4OIW_40630802.kmd
26223;20R0450G.MPG;00:02:06;5.75;BBCA;;Beton;Kreisprofil;Dorr/BeGü;300;300;;;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\AV Starnberger See\Starnberg RW-Kanal\Starnberg RW-Kanal vom 09.11.2016.-14.12.2017\Sichtversion 001\20R0450G.MPG;1639883735;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\AV Starnberger See\Starnberg RW-Kanal\Starnberg RW-Kanal vom 09.11.2016.-14.12.2017\Sichtversion 001\MESSDAT\Starnber\gRWneu\20R0450G.kmd
82615;60R1175I.mpg;00:05:21;16.37;BAHB;;Asbestzement;Kreisprofil;G. Rottmair;600;600;;;\\192.168.200.8\Datengrab\Dorr\3-17-11-17\AV Starnberger See\Bernried vom 19.12.2016-02.06.2017\Bernried RW-Kanal vom 19.12.2016-03.05.2017\Sichtversion 001\60R1175I.mpg;2226144745;
99655;F4115532580804.MPG;00:12:36;46.0;BAHB;;Stahlbeton;Kreisförmig;Dorr/Alker;300;300;;;\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2016\TV-Untersuchung\Stadt Kirchheim u. Teck\2016\Kirchheim, Nabern vom 18.04.-28.04.2016\Sichtversion 001\F4115532580804.MPG;438808397;
